"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2539","test_select_one_dropdown","PlaywrightDemoQA","Thu Mar 05 21:15:04 UTC 2026","passed","Thu Mar 05 21:15:07 UTC 2026","SelectMenuTests","PlaywrightDemoQA.Tests.Widgets","SelectMenuTests","test_select_one_dropdown"
"","2463","test_sort_grid_items","PlaywrightDemoQA","Thu Mar 05 21:13:45 UTC 2026","passed","Thu Mar 05 21:13:48 UTC 2026","SortableTests","PlaywrightDemoQA.Tests.Interactions","SortableTests","test_sort_grid_items"
"","2371","DownloadFile","PlaywrightDemoQA","Thu Mar 05 21:13:11 UTC 2026","passed","Thu Mar 05 21:13:13 UTC 2026","UploadDownloadTests","PlaywrightDemoQA.Tests.Elements","UploadDownloadTests","DownloadFile"
"","3669","test_button_hover_tooltip","PlaywrightDemoQA","Thu Mar 05 21:15:19 UTC 2026","passed","Thu Mar 05 21:15:23 UTC 2026","ToolTipsTests","PlaywrightDemoQA.Tests.Widgets","ToolTipsTests","test_button_hover_tooltip"
"","2461","ApiLink_Created","PlaywrightDemoQA","Thu Mar 05 21:12:56 UTC 2026","passed","Thu Mar 05 21:12:59 UTC 2026","LinksTests","PlaywrightDemoQA.Tests.Elements","LinksTests","ApiLink_Created"
"","2377","test_disabled_tab","PlaywrightDemoQA","Thu Mar 05 21:15:12 UTC 2026","passed","Thu Mar 05 21:15:14 UTC 2026","TabsTests","PlaywrightDemoQA.Tests.Widgets","TabsTests","test_disabled_tab"
"","2534","DatePicker_ManualInput_Test","PlaywrightDemoQA","Thu Mar 05 21:14:00 UTC 2026","passed","Thu Mar 05 21:14:03 UTC 2026","DatePickerTests","PlaywrightDemoQA.Tests.Widgets","DatePickerTests","DatePicker_ManualInput_Test"
"","2464","AutoComplete_Multiple","PlaywrightDemoQA","Thu Mar 05 21:13:53 UTC 2026","passed","Thu Mar 05 21:13:55 UTC 2026","AutoCompleteTests","PlaywrightDemoQA.Tests.Widgets","AutoCompleteTests","AutoComplete_Multiple"
"","2369","BigFrame","PlaywrightDemoQA","Thu Mar 05 21:12:29 UTC 2026","passed","Thu Mar 05 21:12:31 UTC 2026","FramesTests","PlaywrightDemoQA.Tests.AlertsFrameWindows","FramesTests","BigFrame"
"","13286","Test_Stop_And_Resume_Progress","PlaywrightDemoQA","Thu Mar 05 21:14:45 UTC 2026","passed","Thu Mar 05 21:14:59 UTC 2026","ProgressBarTests","PlaywrightDemoQA.Tests.Widgets","ProgressBarTests","Test_Stop_And_Resume_Progress"
"","2392","ClickButton","PlaywrightDemoQA","Thu Mar 05 21:12:39 UTC 2026","passed","Thu Mar 05 21:12:42 UTC 2026","ButtonsTests","PlaywrightDemoQA.Tests.Elements","ButtonsTests","ClickButton"
"","2556","test_select_grid_items","PlaywrightDemoQA","Thu Mar 05 21:13:39 UTC 2026","passed","Thu Mar 05 21:13:42 UTC 2026","SelectableTests","PlaywrightDemoQA.Tests.Interactions","SelectableTests","test_select_grid_items"
"","2406","AutoComplete_Single","PlaywrightDemoQA","Thu Mar 05 21:13:55 UTC 2026","passed","Thu Mar 05 21:13:58 UTC 2026","AutoCompleteTests","PlaywrightDemoQA.Tests.Widgets","AutoCompleteTests","AutoComplete_Single"
"","2714","AddUser_Test","PlaywrightDemoQA","Thu Mar 05 21:13:16 UTC 2026","passed","Thu Mar 05 21:13:18 UTC 2026","WebTablesTests","PlaywrightDemoQA.Tests.Elements","WebTablesTests","AddUser_Test"
"","2656","test_resize_box_with_restrictions","PlaywrightDemoQA","Thu Mar 05 21:13:32 UTC 2026","passed","Thu Mar 05 21:13:34 UTC 2026","ResizableTests","PlaywrightDemoQA.Tests.Interactions","ResizableTests","test_resize_box_with_restrictions"
"","2481","test_switch_between_tabs","PlaywrightDemoQA","Thu Mar 05 21:15:14 UTC 2026","passed","Thu Mar 05 21:15:17 UTC 2026","TabsTests","PlaywrightDemoQA.Tests.Widgets","TabsTests","test_switch_between_tabs"
