"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3158","test_button_hover_tooltip","PlaywrightDemoQA","Fri Mar 06 07:32:08 UTC 2026","passed","Fri Mar 06 07:32:11 UTC 2026","ToolTipsTests","PlaywrightDemoQA.Tests.Widgets","ToolTipsTests","test_button_hover_tooltip"
"","1938","Test_Select_Parent_Checkbox","PlaywrightDemoQA","Fri Mar 06 07:29:18 UTC 2026","passed","Fri Mar 06 07:29:20 UTC 2026","CheckBoxTests","PlaywrightDemoQA.Tests.Elements","CheckBoxTests","Test_Select_Parent_Checkbox"
"","12815","Test_Start_ProgressBar","PlaywrightDemoQA","Fri Mar 06 07:31:26 UTC 2026","passed","Fri Mar 06 07:31:39 UTC 2026","ProgressBarTests","PlaywrightDemoQA.Tests.Widgets","ProgressBarTests","Test_Start_ProgressBar"
"","1773","TimerAlert_Test","PlaywrightDemoQA","Fri Mar 06 07:28:53 UTC 2026","passed","Fri Mar 06 07:28:54 UTC 2026","AlertsTests","PlaywrightDemoQA.Tests.AlertsFrameWindows","AlertsTests","TimerAlert_Test"
"","2539","test_nested_submenu","PlaywrightDemoQA","Fri Mar 06 07:31:08 UTC 2026","passed","Fri Mar 06 07:31:11 UTC 2026","MenuTests","PlaywrightDemoQA.Tests.Widgets","MenuTests","test_nested_submenu"
"","2309","AddUser_Test","PlaywrightDemoQA","Fri Mar 06 07:29:36 UTC 2026","passed","Fri Mar 06 07:29:38 UTC 2026","WebTablesTests","PlaywrightDemoQA.Tests.Elements","WebTablesTests","AddUser_Test"
"","12876","Test_Reset_Progress_Bar","PlaywrightDemoQA","Fri Mar 06 07:31:13 UTC 2026","passed","Fri Mar 06 07:31:26 UTC 2026","ProgressBarTests","PlaywrightDemoQA.Tests.Widgets","ProgressBarTests","Test_Reset_Progress_Bar"
"","3091","test_multiple_sort_operations","PlaywrightDemoQA","Fri Mar 06 07:30:42 UTC 2026","passed","Fri Mar 06 07:30:45 UTC 2026","SortableTests","PlaywrightDemoQA.Tests.Interactions","SortableTests","test_multiple_sort_operations"
"","1981","test_sort_list_items","PlaywrightDemoQA","Fri Mar 06 07:30:47 UTC 2026","passed","Fri Mar 06 07:30:49 UTC 2026","SortableTests","PlaywrightDemoQA.Tests.Interactions","SortableTests","test_sort_list_items"
"","2248","test_text_field_hover_tooltip","PlaywrightDemoQA","Fri Mar 06 07:32:20 UTC 2026","passed","Fri Mar 06 07:32:22 UTC 2026","ToolTipsTests","PlaywrightDemoQA.Tests.Widgets","ToolTipsTests","test_text_field_hover_tooltip"
"","12869","Test_Stop_And_Resume_Progress","PlaywrightDemoQA","Fri Mar 06 07:31:39 UTC 2026","passed","Fri Mar 06 07:31:52 UTC 2026","ProgressBarTests","PlaywrightDemoQA.Tests.Widgets","ProgressBarTests","Test_Stop_And_Resume_Progress"
"","1979","test_tab_content_display","PlaywrightDemoQA","Fri Mar 06 07:32:06 UTC 2026","passed","Fri Mar 06 07:32:08 UTC 2026","TabsTests","PlaywrightDemoQA.Tests.Widgets","TabsTests","test_tab_content_display"
"","2014","test_old_style_select_menu","PlaywrightDemoQA","Fri Mar 06 07:31:54 UTC 2026","passed","Fri Mar 06 07:31:56 UTC 2026","SelectMenuTests","PlaywrightDemoQA.Tests.Widgets","SelectMenuTests","test_old_style_select_menu"
"","2102","DatePicker_ManualInput_Test","PlaywrightDemoQA","Fri Mar 06 07:30:57 UTC 2026","passed","Fri Mar 06 07:30:59 UTC 2026","DatePickerTests","PlaywrightDemoQA.Tests.Widgets","DatePickerTests","DatePicker_ManualInput_Test"
"","2000","TextBox_FillForm_DisplaysData","PlaywrightDemoQA","Fri Mar 06 07:29:28 UTC 2026","passed","Fri Mar 06 07:29:30 UTC 2026","TextBoxTests","PlaywrightDemoQA.Tests.Elements","TextBoxTests","TextBox_FillForm_DisplaysData"
"","1897","SimpleAlert_Test","PlaywrightDemoQA","Fri Mar 06 07:28:51 UTC 2026","passed","Fri Mar 06 07:28:53 UTC 2026","AlertsTests","PlaywrightDemoQA.Tests.AlertsFrameWindows","AlertsTests","SimpleAlert_Test"
"","1937","Slider_Move_Test","PlaywrightDemoQA","Fri Mar 06 07:32:00 UTC 2026","passed","Fri Mar 06 07:32:02 UTC 2026","SliderTests","PlaywrightDemoQA.Tests.Widgets","SliderTests","Slider_Move_Test"
"","4334","test_multiple_tooltips_sequence","PlaywrightDemoQA","Fri Mar 06 07:32:13 UTC 2026","passed","Fri Mar 06 07:32:18 UTC 2026","ToolTipsTests","PlaywrightDemoQA.Tests.Widgets","ToolTipsTests","test_multiple_tooltips_sequence"
"","1882","SearchUser_Test","PlaywrightDemoQA","Fri Mar 06 07:29:44 UTC 2026","passed","Fri Mar 06 07:29:46 UTC 2026","WebTablesTests","PlaywrightDemoQA.Tests.Elements","WebTablesTests","SearchUser_Test"
"","2071","DatePicker_CalendarSelect_Test","PlaywrightDemoQA","Fri Mar 06 07:30:55 UTC 2026","passed","Fri Mar 06 07:30:57 UTC 2026","DatePickerTests","PlaywrightDemoQA.Tests.Widgets","DatePickerTests","DatePicker_CalendarSelect_Test"
"","1964","ApiLink_Created","PlaywrightDemoQA","Fri Mar 06 07:29:20 UTC 2026","passed","Fri Mar 06 07:29:22 UTC 2026","LinksTests","PlaywrightDemoQA.Tests.Elements","LinksTests","ApiLink_Created"
"","3089","ConfirmOkCancel_Test","PlaywrightDemoQA","Fri Mar 06 07:28:46 UTC 2026","passed","Fri Mar 06 07:28:49 UTC 2026","AlertsTests","PlaywrightDemoQA.Tests.AlertsFrameWindows","AlertsTests","ConfirmOkCancel_Test"
"","2210","SimpleLink","PlaywrightDemoQA","Fri Mar 06 07:29:24 UTC 2026","passed","Fri Mar 06 07:29:26 UTC 2026","LinksTests","PlaywrightDemoQA.Tests.Elements","LinksTests","SimpleLink"
"","2089","test_select_grid_items","PlaywrightDemoQA","Fri Mar 06 07:30:40 UTC 2026","passed","Fri Mar 06 07:30:42 UTC 2026","SelectableTests","PlaywrightDemoQA.Tests.Interactions","SelectableTests","test_select_grid_items"
"","2075","Selectable_List_Test","PlaywrightDemoQA","Fri Mar 06 07:30:38 UTC 2026","passed","Fri Mar 06 07:30:40 UTC 2026","SelectableTests","PlaywrightDemoQA.Tests.Interactions","SelectableTests","Selectable_List_Test"
"","2758","FillFullForm","PlaywrightDemoQA","Fri Mar 06 07:29:46 UTC 2026","passed","Fri Mar 06 07:29:49 UTC 2026","PracticeFormTests","PlaywrightDemoQA.Tests.Forms","PracticeFormTests","FillFullForm"
"","46975","test_resize_without_restrictions","PlaywrightDemoQA","Fri Mar 06 07:29:51 UTC 2026","broken","Fri Mar 06 07:30:38 UTC 2026","ResizableTests","PlaywrightDemoQA.Tests.Interactions","ResizableTests","test_resize_without_restrictions"
"","1894","test_disabled_tab","PlaywrightDemoQA","Fri Mar 06 07:32:02 UTC 2026","passed","Fri Mar 06 07:32:04 UTC 2026","TabsTests","PlaywrightDemoQA.Tests.Widgets","TabsTests","test_disabled_tab"
"","1831","RightClickButton","PlaywrightDemoQA","Fri Mar 06 07:29:10 UTC 2026","passed","Fri Mar 06 07:29:12 UTC 2026","ButtonsTests","PlaywrightDemoQA.Tests.Elements","ButtonsTests","RightClickButton"
"","2497","test_multiselect_dropdown","PlaywrightDemoQA","Fri Mar 06 07:31:52 UTC 2026","passed","Fri Mar 06 07:31:54 UTC 2026","SelectMenuTests","PlaywrightDemoQA.Tests.Widgets","SelectMenuTests","test_multiselect_dropdown"
"","2740","test_multiple_tooltips_sequence","PlaywrightDemoQA","Fri Mar 06 07:31:06 UTC 2026","passed","Fri Mar 06 07:31:08 UTC 2026","MenuTests","PlaywrightDemoQA.Tests.Widgets","MenuTests","test_multiple_tooltips_sequence"
"","2080","test_submenu_navigation","PlaywrightDemoQA","Fri Mar 06 07:31:11 UTC 2026","passed","Fri Mar 06 07:31:13 UTC 2026","MenuTests","PlaywrightDemoQA.Tests.Widgets","MenuTests","test_submenu_navigation"
"","2003","AutoComplete_Single","PlaywrightDemoQA","Fri Mar 06 07:30:53 UTC 2026","passed","Fri Mar 06 07:30:55 UTC 2026","AutoCompleteTests","PlaywrightDemoQA.Tests.Widgets","AutoCompleteTests","AutoComplete_Single"
"","2049","OpenNewTab_And_VerifyContent","PlaywrightDemoQA","Fri Mar 06 07:28:54 UTC 2026","passed","Fri Mar 06 07:28:56 UTC 2026","BrowserWindowsTests","PlaywrightDemoQA.Tests.AlertsFrameWindows","BrowserWindowsTests","OpenNewTab_And_VerifyContent"
