"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1840","SmallFrame","PlaywrightDemoQA","Fri Mar 06 07:29:00 UTC 2026","passed","Fri Mar 06 07:29:02 UTC 2026","FramesTests","PlaywrightDemoQA.Tests.AlertsFrameWindows","FramesTests","SmallFrame"
"","2236","LargeModal","PlaywrightDemoQA","Fri Mar 06 07:29:02 UTC 2026","passed","Fri Mar 06 07:29:04 UTC 2026","ModalDialogsTests","PlaywrightDemoQA.Tests.AlertsFrameWindows","ModalDialogsTests","LargeModal"
"","2020","test_sort_grid_items","PlaywrightDemoQA","Fri Mar 06 07:30:45 UTC 2026","passed","Fri Mar 06 07:30:47 UTC 2026","SortableTests","PlaywrightDemoQA.Tests.Interactions","SortableTests","test_sort_grid_items"
"","1968","TextBox_InvalidEmail_ShowsErrorAndNoOutput","PlaywrightDemoQA","Fri Mar 06 07:29:30 UTC 2026","passed","Fri Mar 06 07:29:32 UTC 2026","TextBoxTests","PlaywrightDemoQA.Tests.Elements","TextBoxTests","TextBox_InvalidEmail_ShowsErrorAndNoOutput"
"","2174","DatePicker_WithTime_Test","PlaywrightDemoQA","Fri Mar 06 07:30:59 UTC 2026","passed","Fri Mar 06 07:31:02 UTC 2026","DatePickerTests","PlaywrightDemoQA.Tests.Widgets","DatePickerTests","DatePicker_WithTime_Test"
"","1885","BigFrame","PlaywrightDemoQA","Fri Mar 06 07:28:58 UTC 2026","passed","Fri Mar 06 07:29:00 UTC 2026","FramesTests","PlaywrightDemoQA.Tests.AlertsFrameWindows","FramesTests","BigFrame"
"","2000","test_select_one_dropdown","PlaywrightDemoQA","Fri Mar 06 07:31:56 UTC 2026","passed","Fri Mar 06 07:31:58 UTC 2026","SelectMenuTests","PlaywrightDemoQA.Tests.Widgets","SelectMenuTests","test_select_one_dropdown"
"","1854","DoubleClickButton","PlaywrightDemoQA","Fri Mar 06 07:29:08 UTC 2026","passed","Fri Mar 06 07:29:10 UTC 2026","ButtonsTests","PlaywrightDemoQA.Tests.Elements","ButtonsTests","DoubleClickButton"
"","1934","DeleteUser_Test","PlaywrightDemoQA","Fri Mar 06 07:29:40 UTC 2026","passed","Fri Mar 06 07:29:42 UTC 2026","WebTablesTests","PlaywrightDemoQA.Tests.Elements","WebTablesTests","DeleteUser_Test"
"","1913","Test_Select_Individual_Checkboxes","PlaywrightDemoQA","Fri Mar 06 07:29:16 UTC 2026","passed","Fri Mar 06 07:29:18 UTC 2026","CheckBoxTests","PlaywrightDemoQA.Tests.Elements","CheckBoxTests","Test_Select_Individual_Checkboxes"
"","1946","test_switch_between_tabs","PlaywrightDemoQA","Fri Mar 06 07:32:04 UTC 2026","passed","Fri Mar 06 07:32:06 UTC 2026","TabsTests","PlaywrightDemoQA.Tests.Widgets","TabsTests","test_switch_between_tabs"
"","1890","ClickButton","PlaywrightDemoQA","Fri Mar 06 07:29:07 UTC 2026","passed","Fri Mar 06 07:29:08 UTC 2026","ButtonsTests","PlaywrightDemoQA.Tests.Elements","ButtonsTests","ClickButton"
"","2193","test_select_value_dropdown","PlaywrightDemoQA","Fri Mar 06 07:31:58 UTC 2026","passed","Fri Mar 06 07:32:00 UTC 2026","SelectMenuTests","PlaywrightDemoQA.Tests.Widgets","SelectMenuTests","test_select_value_dropdown"
"","2180","test_resize_box_with_restrictions","PlaywrightDemoQA","Fri Mar 06 07:29:49 UTC 2026","passed","Fri Mar 06 07:29:51 UTC 2026","ResizableTests","PlaywrightDemoQA.Tests.Interactions","ResizableTests","test_resize_box_with_restrictions"
"","2158","test_section_number_tooltip","PlaywrightDemoQA","Fri Mar 06 07:32:18 UTC 2026","passed","Fri Mar 06 07:32:20 UTC 2026","ToolTipsTests","PlaywrightDemoQA.Tests.Widgets","ToolTipsTests","test_section_number_tooltip"
"","1952","Test_Result_Output_Consistency","PlaywrightDemoQA","Fri Mar 06 07:29:14 UTC 2026","passed","Fri Mar 06 07:29:16 UTC 2026","CheckBoxTests","PlaywrightDemoQA.Tests.Elements","CheckBoxTests","Test_Result_Output_Consistency"
"","2208","Accordian_Test","PlaywrightDemoQA","Fri Mar 06 07:30:49 UTC 2026","passed","Fri Mar 06 07:30:51 UTC 2026","AccordianTests","PlaywrightDemoQA.Tests.Widgets","AccordianTests","Accordian_Test"
"","1886","PromptInput_Test","PlaywrightDemoQA","Fri Mar 06 07:28:49 UTC 2026","passed","Fri Mar 06 07:28:51 UTC 2026","AlertsTests","PlaywrightDemoQA.Tests.AlertsFrameWindows","AlertsTests","PromptInput_Test"
"","2049","AutoComplete_Multiple","PlaywrightDemoQA","Fri Mar 06 07:30:51 UTC 2026","passed","Fri Mar 06 07:30:53 UTC 2026","AutoCompleteTests","PlaywrightDemoQA.Tests.Widgets","AutoCompleteTests","AutoComplete_Multiple"
"","1846","UploadFile_And_Verify","PlaywrightDemoQA","Fri Mar 06 07:29:34 UTC 2026","passed","Fri Mar 06 07:29:36 UTC 2026","UploadDownloadTests","PlaywrightDemoQA.Tests.Elements","UploadDownloadTests","UploadFile_And_Verify"
"","1917","Test_Expand_And_Collapse","PlaywrightDemoQA","Fri Mar 06 07:29:12 UTC 2026","passed","Fri Mar 06 07:29:14 UTC 2026","CheckBoxTests","PlaywrightDemoQA.Tests.Elements","CheckBoxTests","Test_Expand_And_Collapse"
"","2164","DynamicLink","PlaywrightDemoQA","Fri Mar 06 07:29:22 UTC 2026","passed","Fri Mar 06 07:29:24 UTC 2026","LinksTests","PlaywrightDemoQA.Tests.Elements","LinksTests","DynamicLink"
"","2206","EditUser_Test","PlaywrightDemoQA","Fri Mar 06 07:29:42 UTC 2026","passed","Fri Mar 06 07:29:44 UTC 2026","WebTablesTests","PlaywrightDemoQA.Tests.Elements","WebTablesTests","EditUser_Test"
"","2176","test_menu_disappears_on_mouse_leave","PlaywrightDemoQA","Fri Mar 06 07:31:03 UTC 2026","passed","Fri Mar 06 07:31:06 UTC 2026","MenuTests","PlaywrightDemoQA.Tests.Widgets","MenuTests","test_menu_disappears_on_mouse_leave"
"","1901","OpenNewWindow_And_VerifyContent","PlaywrightDemoQA","Fri Mar 06 07:28:56 UTC 2026","passed","Fri Mar 06 07:28:58 UTC 2026","BrowserWindowsTests","PlaywrightDemoQA.Tests.AlertsFrameWindows","BrowserWindowsTests","OpenNewWindow_And_VerifyContent"
"","2268","test_contrary_link_tooltip","PlaywrightDemoQA","Fri Mar 06 07:32:11 UTC 2026","passed","Fri Mar 06 07:32:13 UTC 2026","ToolTipsTests","PlaywrightDemoQA.Tests.Widgets","ToolTipsTests","test_contrary_link_tooltip"
"","1853","ChangingRows_Test","PlaywrightDemoQA","Fri Mar 06 07:29:38 UTC 2026","passed","Fri Mar 06 07:29:40 UTC 2026","WebTablesTests","PlaywrightDemoQA.Tests.Elements","WebTablesTests","ChangingRows_Test"
"","1859","test_main_menu_items_clickable","PlaywrightDemoQA","Fri Mar 06 07:31:02 UTC 2026","passed","Fri Mar 06 07:31:03 UTC 2026","MenuTests","PlaywrightDemoQA.Tests.Widgets","MenuTests","test_main_menu_items_clickable"
"","2224","SmallModal","PlaywrightDemoQA","Fri Mar 06 07:29:04 UTC 2026","passed","Fri Mar 06 07:29:07 UTC 2026","ModalDialogsTests","PlaywrightDemoQA.Tests.AlertsFrameWindows","ModalDialogsTests","SmallModal"
"","1901","DownloadFile","PlaywrightDemoQA","Fri Mar 06 07:29:32 UTC 2026","passed","Fri Mar 06 07:29:34 UTC 2026","UploadDownloadTests","PlaywrightDemoQA.Tests.Elements","UploadDownloadTests","DownloadFile"
