"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3083","test_nested_submenu","PlaywrightDemoQA","Thu Mar 05 21:06:32 UTC 2026","passed","Thu Mar 05 21:06:35 UTC 2026","MenuTests","PlaywrightDemoQA.Tests.Widgets","MenuTests","test_nested_submenu"
"","2397","test_disabled_tab","PlaywrightDemoQA","Thu Mar 05 21:07:31 UTC 2026","passed","Thu Mar 05 21:07:34 UTC 2026","TabsTests","PlaywrightDemoQA.Tests.Widgets","TabsTests","test_disabled_tab"
"","2701","test_menu_disappears_on_mouse_leave","PlaywrightDemoQA","Thu Mar 05 21:06:26 UTC 2026","passed","Thu Mar 05 21:06:29 UTC 2026","MenuTests","PlaywrightDemoQA.Tests.Widgets","MenuTests","test_menu_disappears_on_mouse_leave"
"","2291","TimerAlert_Test","PlaywrightDemoQA","Thu Mar 05 21:03:53 UTC 2026","passed","Thu Mar 05 21:03:55 UTC 2026","AlertsTests","PlaywrightDemoQA.Tests.AlertsFrameWindows","AlertsTests","TimerAlert_Test"
"","2415","ChangingRows_Test","PlaywrightDemoQA","Thu Mar 05 21:05:36 UTC 2026","passed","Thu Mar 05 21:05:38 UTC 2026","WebTablesTests","PlaywrightDemoQA.Tests.Elements","WebTablesTests","ChangingRows_Test"
"","2464","test_switch_between_tabs","PlaywrightDemoQA","Thu Mar 05 21:07:34 UTC 2026","passed","Thu Mar 05 21:07:36 UTC 2026","TabsTests","PlaywrightDemoQA.Tests.Widgets","TabsTests","test_switch_between_tabs"
"","2418","SearchUser_Test","PlaywrightDemoQA","Thu Mar 05 21:05:43 UTC 2026","passed","Thu Mar 05 21:05:46 UTC 2026","WebTablesTests","PlaywrightDemoQA.Tests.Elements","WebTablesTests","SearchUser_Test"
"","2312","ClickButton","PlaywrightDemoQA","Thu Mar 05 21:04:10 UTC 2026","passed","Thu Mar 05 21:04:13 UTC 2026","ButtonsTests","PlaywrightDemoQA.Tests.Elements","ButtonsTests","ClickButton"
"","2328","DoubleClickButton","PlaywrightDemoQA","Thu Mar 05 21:04:13 UTC 2026","passed","Thu Mar 05 21:04:15 UTC 2026","ButtonsTests","PlaywrightDemoQA.Tests.Elements","ButtonsTests","DoubleClickButton"
"","2470","DeleteUser_Test","PlaywrightDemoQA","Thu Mar 05 21:05:38 UTC 2026","passed","Thu Mar 05 21:05:41 UTC 2026","WebTablesTests","PlaywrightDemoQA.Tests.Elements","WebTablesTests","DeleteUser_Test"
"","2837","DynamicLink","PlaywrightDemoQA","Thu Mar 05 21:05:15 UTC 2026","passed","Thu Mar 05 21:05:18 UTC 2026","LinksTests","PlaywrightDemoQA.Tests.Elements","LinksTests","DynamicLink"
"","2986","ConfirmOkCancel_Test","PlaywrightDemoQA","Thu Mar 05 21:03:45 UTC 2026","passed","Thu Mar 05 21:03:48 UTC 2026","AlertsTests","PlaywrightDemoQA.Tests.AlertsFrameWindows","AlertsTests","ConfirmOkCancel_Test"
"","2740","test_text_field_hover_tooltip","PlaywrightDemoQA","Thu Mar 05 21:07:52 UTC 2026","passed","Thu Mar 05 21:07:55 UTC 2026","ToolTipsTests","PlaywrightDemoQA.Tests.Widgets","ToolTipsTests","test_text_field_hover_tooltip"
"","2384","UploadFile_And_Verify","PlaywrightDemoQA","Thu Mar 05 21:05:31 UTC 2026","passed","Thu Mar 05 21:05:33 UTC 2026","UploadDownloadTests","PlaywrightDemoQA.Tests.Elements","UploadDownloadTests","UploadFile_And_Verify"
"","2380","SimpleAlert_Test","PlaywrightDemoQA","Thu Mar 05 21:03:51 UTC 2026","passed","Thu Mar 05 21:03:53 UTC 2026","AlertsTests","PlaywrightDemoQA.Tests.AlertsFrameWindows","AlertsTests","SimpleAlert_Test"
"","3416","FillFullForm","PlaywrightDemoQA","Thu Mar 05 21:05:46 UTC 2026","passed","Thu Mar 05 21:05:49 UTC 2026","PracticeFormTests","PlaywrightDemoQA.Tests.Forms","PracticeFormTests","FillFullForm"
"","2778","EditUser_Test","PlaywrightDemoQA","Thu Mar 05 21:05:41 UTC 2026","passed","Thu Mar 05 21:05:43 UTC 2026","WebTablesTests","PlaywrightDemoQA.Tests.Elements","WebTablesTests","EditUser_Test"
"","2550","Test_Expand_And_Collapse","PlaywrightDemoQA","Thu Mar 05 21:04:17 UTC 2026","passed","Thu Mar 05 21:04:20 UTC 2026","CheckBoxTests","PlaywrightDemoQA.Tests.Elements","CheckBoxTests","Test_Expand_And_Collapse"
"","2605","DatePicker_ManualInput_Test","PlaywrightDemoQA","Thu Mar 05 21:06:19 UTC 2026","passed","Thu Mar 05 21:06:21 UTC 2026","DatePickerTests","PlaywrightDemoQA.Tests.Widgets","DatePickerTests","DatePicker_ManualInput_Test"
"","2635","DatePicker_CalendarSelect_Test","PlaywrightDemoQA","Thu Mar 05 21:06:16 UTC 2026","passed","Thu Mar 05 21:06:19 UTC 2026","DatePickerTests","PlaywrightDemoQA.Tests.Widgets","DatePickerTests","DatePicker_CalendarSelect_Test"
"","2605","test_contrary_link_tooltip","PlaywrightDemoQA","Thu Mar 05 21:07:42 UTC 2026","passed","Thu Mar 05 21:07:45 UTC 2026","ToolTipsTests","PlaywrightDemoQA.Tests.Widgets","ToolTipsTests","test_contrary_link_tooltip"
"","2339","PromptInput_Test","PlaywrightDemoQA","Thu Mar 05 21:03:48 UTC 2026","passed","Thu Mar 05 21:03:51 UTC 2026","AlertsTests","PlaywrightDemoQA.Tests.AlertsFrameWindows","AlertsTests","PromptInput_Test"
"","4905","test_multiple_tooltips_sequence","PlaywrightDemoQA","Thu Mar 05 21:07:45 UTC 2026","passed","Thu Mar 05 21:07:50 UTC 2026","ToolTipsTests","PlaywrightDemoQA.Tests.Widgets","ToolTipsTests","test_multiple_tooltips_sequence"
"","2590","test_old_style_select_menu","PlaywrightDemoQA","Thu Mar 05 21:07:21 UTC 2026","passed","Thu Mar 05 21:07:23 UTC 2026","SelectMenuTests","PlaywrightDemoQA.Tests.Widgets","SelectMenuTests","test_old_style_select_menu"
"","2579","TextBox_InvalidEmail_ShowsErrorAndNoOutput","PlaywrightDemoQA","Thu Mar 05 21:05:25 UTC 2026","passed","Thu Mar 05 21:05:28 UTC 2026","TextBoxTests","PlaywrightDemoQA.Tests.Elements","TextBoxTests","TextBox_InvalidEmail_ShowsErrorAndNoOutput"
"","2412","Slider_Move_Test","PlaywrightDemoQA","Thu Mar 05 21:07:29 UTC 2026","passed","Thu Mar 05 21:07:31 UTC 2026","SliderTests","PlaywrightDemoQA.Tests.Widgets","SliderTests","Slider_Move_Test"
"","2699","test_resize_box_with_restrictions","PlaywrightDemoQA","Thu Mar 05 21:05:49 UTC 2026","passed","Thu Mar 05 21:05:52 UTC 2026","ResizableTests","PlaywrightDemoQA.Tests.Interactions","ResizableTests","test_resize_box_with_restrictions"
"","2515","test_sort_list_items","PlaywrightDemoQA","Thu Mar 05 21:06:06 UTC 2026","passed","Thu Mar 05 21:06:08 UTC 2026","SortableTests","PlaywrightDemoQA.Tests.Interactions","SortableTests","test_sort_list_items"
"","2703","DatePicker_WithTime_Test","PlaywrightDemoQA","Thu Mar 05 21:06:21 UTC 2026","passed","Thu Mar 05 21:06:24 UTC 2026","DatePickerTests","PlaywrightDemoQA.Tests.Widgets","DatePickerTests","DatePicker_WithTime_Test"
"","2742","test_select_value_dropdown","PlaywrightDemoQA","Thu Mar 05 21:07:26 UTC 2026","passed","Thu Mar 05 21:07:29 UTC 2026","SelectMenuTests","PlaywrightDemoQA.Tests.Widgets","SelectMenuTests","test_select_value_dropdown"
"","2782","SimpleLink","PlaywrightDemoQA","Thu Mar 05 21:05:18 UTC 2026","passed","Thu Mar 05 21:05:21 UTC 2026","LinksTests","PlaywrightDemoQA.Tests.Elements","LinksTests","SimpleLink"
"","2439","SmallFrame","PlaywrightDemoQA","Thu Mar 05 21:04:03 UTC 2026","passed","Thu Mar 05 21:04:05 UTC 2026","FramesTests","PlaywrightDemoQA.Tests.AlertsFrameWindows","FramesTests","SmallFrame"
"","13362","Test_Reset_Progress_Bar","PlaywrightDemoQA","Thu Mar 05 21:06:38 UTC 2026","passed","Thu Mar 05 21:06:51 UTC 2026","ProgressBarTests","PlaywrightDemoQA.Tests.Widgets","ProgressBarTests","Test_Reset_Progress_Bar"
"","2573","AutoComplete_Multiple","PlaywrightDemoQA","Thu Mar 05 21:06:11 UTC 2026","passed","Thu Mar 05 21:06:13 UTC 2026","AutoCompleteTests","PlaywrightDemoQA.Tests.Widgets","AutoCompleteTests","AutoComplete_Multiple"
"","3294","test_multiple_tooltips_sequence","PlaywrightDemoQA","Thu Mar 05 21:06:29 UTC 2026","passed","Thu Mar 05 21:06:32 UTC 2026","MenuTests","PlaywrightDemoQA.Tests.Widgets","MenuTests","test_multiple_tooltips_sequence"
"","2561","Test_Select_Individual_Checkboxes","PlaywrightDemoQA","Thu Mar 05 21:05:07 UTC 2026","passed","Thu Mar 05 21:05:10 UTC 2026","CheckBoxTests","PlaywrightDemoQA.Tests.Elements","CheckBoxTests","Test_Select_Individual_Checkboxes"
"","2761","test_section_number_tooltip","PlaywrightDemoQA","Thu Mar 05 21:07:50 UTC 2026","passed","Thu Mar 05 21:07:52 UTC 2026","ToolTipsTests","PlaywrightDemoQA.Tests.Widgets","ToolTipsTests","test_section_number_tooltip"
"","2766","AddUser_Test","PlaywrightDemoQA","Thu Mar 05 21:05:33 UTC 2026","passed","Thu Mar 05 21:05:36 UTC 2026","WebTablesTests","PlaywrightDemoQA.Tests.Elements","WebTablesTests","AddUser_Test"
"","47160","Test_Result_Output_Consistency","PlaywrightDemoQA","Thu Mar 05 21:04:20 UTC 2026","broken","Thu Mar 05 21:05:07 UTC 2026","CheckBoxTests","PlaywrightDemoQA.Tests.Elements","CheckBoxTests","Test_Result_Output_Consistency"
"","2417","AutoComplete_Single","PlaywrightDemoQA","Thu Mar 05 21:06:13 UTC 2026","passed","Thu Mar 05 21:06:16 UTC 2026","AutoCompleteTests","PlaywrightDemoQA.Tests.Widgets","AutoCompleteTests","AutoComplete_Single"
"","3535","test_multiple_sort_operations","PlaywrightDemoQA","Thu Mar 05 21:06:00 UTC 2026","passed","Thu Mar 05 21:06:03 UTC 2026","SortableTests","PlaywrightDemoQA.Tests.Interactions","SortableTests","test_multiple_sort_operations"
"","2442","LargeModal","PlaywrightDemoQA","Thu Mar 05 21:04:05 UTC 2026","passed","Thu Mar 05 21:04:08 UTC 2026","ModalDialogsTests","PlaywrightDemoQA.Tests.AlertsFrameWindows","ModalDialogsTests","LargeModal"
"","2811","ApiLink_Created","PlaywrightDemoQA","Thu Mar 05 21:05:12 UTC 2026","passed","Thu Mar 05 21:05:15 UTC 2026","LinksTests","PlaywrightDemoQA.Tests.Elements","LinksTests","ApiLink_Created"
"","2547","test_resize_without_restrictions","PlaywrightDemoQA","Thu Mar 05 21:05:52 UTC 2026","passed","Thu Mar 05 21:05:54 UTC 2026","ResizableTests","PlaywrightDemoQA.Tests.Interactions","ResizableTests","test_resize_without_restrictions"
